,GDEKT,GDENAME,Latitude,Longitude,co2_m2
384316,AG,Windisch,47.4826872432873,8.22720995240623,29.33859713755873
384317,AG,Windisch,47.4824226378649,8.22746467934132,23.835318660420462
384318,AG,Windisch,47.4821410817217,8.2277939973485,29.796079386773265
384319,AG,Windisch,47.482880070437,8.22661068524397,32.41276881499605
384320,AG,Windisch,47.4827899419152,8.22641705464176,29.796079386773265
384321,AG,Windisch,47.4809305587944,8.22326406245069,23.835318660420462
384322,AG,Windisch,47.481065955917,8.22360843338293,21.911088530219825
384323,AG,Windisch,47.4814370012178,8.2244982622974,23.835318660420462
384324,AG,Windisch,47.4823800234948,8.22622249930991,21.911088530219825
384325,AG,Windisch,47.4825042821449,8.22691363066003,32.41276881499605
384326,AG,Windisch,47.4826738852697,8.22694200288884,23.835318660420462
384327,AG,Windisch,47.4821661624838,8.22741583218749,23.835318660420462
384328,AG,Windisch,47.4820641350843,8.22754710603051,21.911088530219825
384329,AG,Windisch,47.4818922369205,8.22754272646262,21.911088530219825
384330,AG,Windisch,47.481603324039,8.22697409303967,21.911088530219825
384331,AG,Windisch,47.484213578894,8.23495428875675,20.858327122840283
384332,AG,Windisch,47.4842704077425,8.2350193591777,20.858327122840283
384333,AG,Windisch,47.4843627045955,8.23512451434251,20.858327122840283
384334,AG,Windisch,47.4846226287009,8.23542334115586,20.858327122840283
384335,AG,Windisch,47.4835985732713,8.22979174264501,28.57694733105132
384336,AG,Windisch,47.4834831189793,8.23000791915973,28.57694733105132
384399,AG,Windisch,47.4829132676479,8.22890725645926,25.007734282698745
384400,AG,Windisch,47.4828550107966,8.22879788378719,26.26992455250224
384401,AG,Windisch,47.4819128435035,8.22819057551828,26.26992455250224
384402,AG,Windisch,47.4819143430985,8.22820808496252,26.26992455250224
384403,AG,Windisch,47.4821452108675,8.22888584532067,18.176342305942768
384404,AG,Windisch,47.4818807254762,8.22898672104751,20.416781745116275
384405,AG,Windisch,47.4843153052638,8.22669674365911,32.41276881499605
384406,AG,Windisch,47.4843630077485,8.22742383890031,28.79198590641361
384407,AG,Windisch,47.4844307554398,8.22769286902046,28.79198590641361
384408,AG,Windisch,47.4845806905725,8.22856770474223,16.287804433031855
384409,AG,Windisch,47.483941159937,8.22749801878445,25.195914898734912
384410,AG,Windisch,47.4836454076332,8.22790433106362,25.195914898734912
384411,AG,Windisch,47.4835164350849,8.22604581416677,28.57694733105132
384412,AG,Windisch,47.4833081036339,8.22594443949539,31.915110509409125
384413,AG,Windisch,47.4837675762616,8.22549544082087,32.41276881499605
384414,AG,Windisch,47.4832400148887,8.22581760870745,28.79198590641361
384415,AG,Windisch,47.4835110910174,8.22567029325655,32.41276881499605
384416,AG,Windisch,47.4832703429795,8.22502750492301,32.41276881499605
384417,AG,Windisch,47.4832833903041,8.22470481336605,32.41276881499605
384418,AG,Windisch,47.4837383724196,8.22317292839324,28.79198590641361
384419,AG,Windisch,47.4845683425921,8.22555301978055,21.911088530219825
384420,AG,Windisch,47.4845282666568,8.2236019262591,28.57694733105132
384421,AG,Windisch,47.4843135919014,8.22374205977848,21.911088530219825
384422,AG,Windisch,47.4842012399418,8.2231187709381,31.915110509409125
384423,AG,Windisch,47.4850217554889,8.22431901811646,31.915110509409125
384424,AG,Windisch,47.4849398903395,8.22395545366622,29.33859713755873
384425,AG,Windisch,47.4809804049304,8.22208465904947,25.195914898734912
384426,AG,Windisch,47.4811116025883,8.22204398789578,25.195914898734912
384427,AG,Windisch,47.4813753675485,8.22196226711451,25.195914898734912
384428,AG,Windisch,47.4807305479504,8.21960449046713,18.743242334795383
384429,AG,Windisch,47.47939910129,8.2193292621052,27.928966448947413
384581,AG,Windisch,47.4796161337723,8.22002696740711,27.928966448947413
384582,AG,Windisch,47.4800207967131,8.22041798516205,21.911088530219825
384583,AG,Windisch,47.4800063599835,8.22085756373667,23.835318660420462
384584,AG,Windisch,47.4803936508799,8.22183003925502,26.467603019876773
384585,AG,Windisch,47.480088043673,8.22232917599519,26.467603019876773
384586,AG,Windisch,47.4793479790372,8.22059653639174,18.176342305942768
384587,AG,Windisch,47.4793281573339,8.2200993310057,32.41276881499605
384588,AG,Windisch,47.4806010962621,8.22246294707478,26.26992455250224
384589,AG,Windisch,47.4799281972867,8.22286553427045,26.467603019876773
384590,AG,Windisch,47.4799091034225,8.22310965288494,21.911088530219825
384591,AG,Windisch,47.4795863075766,8.22325370123963,31.915110509409125
384592,AG,Windisch,47.4791685176848,8.22306251557826,29.33859713755873
384593,AG,Windisch,47.479606800163,8.22274336802931,26.467603019876773
384594,AG,Windisch,47.4798915173655,8.22311525784841,21.911088530219825
384595,AG,Windisch,47.4789036397676,8.2212511653129,29.796079386773265
384596,AG,Windisch,47.478777184547,8.22090421290896,25.007734282698745
384597,AG,Windisch,47.4792637003618,8.22256659371568,26.467603019876773
384598,AG,Windisch,47.4789908808485,8.22163764926326,29.796079386773265
384599,AG,Windisch,47.4789796877886,8.22247304166429,29.33859713755873
384600,AG,Windisch,47.4786085798925,8.21761644652234,24.25255663193363
384601,AG,Windisch,47.4780718530402,8.22052327051201,26.467603019876773
384602,AG,Windisch,47.4770296684412,8.21700361473562,23.835318660420462
384603,AG,Windisch,47.4769892165528,8.21766618704227,26.26992455250224
384604,AG,Windisch,47.476142265471,8.21785355609083,31.915110509409125
384605,AG,Windisch,47.4769630335704,8.2200899793117,31.915110509409125
384606,AG,Windisch,47.4768183261513,8.22041319343389,32.41276881499605
384607,AG,Windisch,47.4774447886172,8.21868332531076,29.796079386773265
384608,AG,Windisch,47.4774653905967,8.21879741706901,29.796079386773265
384609,AG,Windisch,47.4774978969686,8.21818440758914,29.796079386773265
384610,AG,Windisch,47.4760106923835,8.21883161165711,32.46735877580726
384611,AG,Windisch,47.4765691013969,8.21909316432946,26.467603019876773
384702,AG,Windisch,47.4764324651842,8.21873848139321,26.467603019876773
384703,AG,Windisch,47.4774269684152,8.22084605023344,21.911088530219825
384704,AG,Windisch,47.4769596915457,8.22061160445292,29.33859713755873
384705,AG,Windisch,47.4762266446554,8.22083165763072,16.70896248945162
384706,AG,Windisch,47.4760310498156,8.22081736030046,23.835318660420462
384707,AG,Windisch,47.4753937529053,8.22039088664452,31.915110509409125
384708,AG,Windisch,47.47484146769,8.21974608924521,31.915110509409125
384709,AG,Windisch,47.4754190725126,8.21961520414473,31.915110509409125
384710,AG,Windisch,47.4756326155639,8.21972887351131,28.57694733105132
384711,AG,Windisch,47.4761757781431,8.21987565343673,28.57694733105132
384712,AG,Windisch,47.4760410606355,8.22035924281287,28.57694733105132
384713,AG,Windisch,47.4762564295747,8.22040619931669,28.57694733105132
384714,AG,Windisch,47.4764673146301,8.22061232937435,32.41276881499605
384715,AG,Windisch,47.476524456093,8.21988622470535,31.915110509409125
384716,AG,Windisch,47.4759581990346,8.21960832382308,31.915110509409125
384717,AG,Windisch,47.4758063669105,8.21943458717953,31.915110509409125
384718,AG,Windisch,47.4755880467336,8.21926901679339,31.915110509409125
384719,AG,Windisch,47.4752396608693,8.21899095247257,32.41276881499605
384720,AG,Windisch,47.4766003491525,8.22104927071707,32.41276881499605
384721,AG,Windisch,47.4769738022349,8.2209446873383,32.41276881499605
384722,AG,Windisch,47.4767745480763,8.22119504569161,31.915110509409125
